         10620 function calls (9872 primitive calls) in 0.026 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\topology.py:271(_ensure_opened)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:56(_path_split)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\abc.py:194(__subclasscheck__)
       96    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\signals.py:32(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\collection.py:235(__getitem__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\thread_util.py:63(release)
        2    0.000    0.000    0.000    0.000 C:\Python34\lib\threading.py:1109(is_alive)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2011(_get_spec)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_compile.py:341(_compile_info)
       96    0.000    0.000    0.000    0.000 {built-in method len}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:172(__init__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\topology.py:312(_apply_selector)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\random.py:250(choice)
       10    0.000    0.000    0.000    0.000 {built-in method hexlify}
        2    0.000    0.000    0.000    0.000 C:\Python34\lib\contextlib.py:124(helper)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\document.py:925(_lookup_field)
       20    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\fields.py:325(<listcomp>)
        4    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\bson\son.py:149(items)
        2    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\common.py:503(__init__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\common.py:370(validate_is_mapping)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\random.py:220(_randbelow)
        4    0.000    0.000    0.000    0.000 C:\Python34\lib\copyreg.py:87(__newobj__)
        5    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_parse.py:208(get)
        6    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_parse.py:183(__next)
        2    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\server.py:34(open)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_compile.py:33(_compile)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\threading.py:329(notify)
